"Time","rskj-miner1:8080 (heap)","rskj-miner2:8080 (heap)","rskj-miner4:8080 (heap)","rskj-node1:8080 (heap)","rskj-miner1:8080-max","rskj-miner2:8080-max","rskj-miner4:8080-max","rskj-node1:8080-max"
2026-02-10 13:25:30,441 MiB,2.19 GiB,2.47 GiB,2.63 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:25:45,1.09 GiB,2.50 GiB,2.78 GiB,2.16 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:26:00,672 MiB,2.67 GiB,2.11 GiB,2.27 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:26:15,1.10 GiB,2.02 GiB,2.25 GiB,2.39 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:26:30,469 MiB,2.16 GiB,2.36 GiB,2.50 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:26:45,838 MiB,2.70 GiB,2.09 GiB,2.19 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:27:00,1.19 GiB,2.07 GiB,2.26 GiB,2.34 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:27:15,847 MiB,2.23 GiB,2.37 GiB,2.45 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:27:30,426 MiB,2.33 GiB,2.47 GiB,2.56 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:27:45,1.13 GiB,2.74 GiB,2.03 GiB,2.09 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:28:00,790 MiB,2.22 GiB,2.32 GiB,2.35 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:28:15,1.16 GiB,2.41 GiB,2.46 GiB,2.49 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:28:30,815 MiB,2.55 GiB,2.61 GiB,2.61 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:28:45,692 MiB,2.16 GiB,2.18 GiB,2.16 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:29:00,1.15 GiB,2.40 GiB,2.42 GiB,2.34 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:29:15,824 MiB,2.61 GiB,2.60 GiB,2.48 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
