"Time","rskj-miner1:8080 (Copy)","rskj-miner2:8080 (Copy)","rskj-miner3:8080 (Copy)","rskj-miner4:8080 (Copy)","rskj-node1:8080 (Copy)","rskj-node2:8080 (Copy)","rskj-miner1:8080 (MarkSweepCompact)","rskj-miner2:8080 (MarkSweepCompact)","rskj-miner3:8080 (MarkSweepCompact)","rskj-miner4:8080 (MarkSweepCompact)","rskj-node1:8080 (MarkSweepCompact)","rskj-node2:8080 (MarkSweepCompact)"
2026-02-10 17:02:00,4.42 ms,5.13 ms,2.34 ms,2.59 ms,1.73 ms,6.02 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:04:00,2.56 ms,2.32 ms,2.20 ms,1.32 ms,1.25 ms,2.80 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:06:00,2.00 ms,2.37 ms,1.24 ms,1.73 ms,3.10 ms,2.15 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:08:00,4.20 ms,5.76 ms,1.42 ms,4.14 ms,1.36 ms,3.36 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:10:00,2.36 ms,2.32 ms,2.08 ms,2.25 ms,2.41 ms,3.97 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:12:00,1.76 ms,3.70 ms,1.81 ms,2.64 ms,1.37 ms,2.93 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:14:00,2.31 ms,1.15 ms,3.17 ms,2.07 ms,2.19 ms,2.12 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:16:00,3.08 ms,983 µs,2.53 ms,1.88 ms,5.25 ms,3.47 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:18:00,559 µs,729 µs,1.14 ms,1.64 ms,2.39 ms,1.36 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:20:00,2.27 ms,1.27 ms,1.22 ms,1.64 ms,2.68 ms,966 µs,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:22:00,1.68 ms,949 µs,1.80 ms,0 s,3.15 ms,1.36 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:24:00,2.66 ms,2.68 ms,2.05 ms,2.80 ms,2.17 ms,1.88 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:26:00,3.14 ms,1.86 ms,3.56 ms,2.12 ms,2.25 ms,1.05 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:28:00,17.1 ms,5.02 ms,9.68 ms,3.34 ms,4.88 ms,8.85 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:30:00,695 µs,4.47 ms,4.76 ms,4.61 ms,4.90 ms,2.63 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:32:00,492 µs,2.59 ms,5.19 ms,3.64 ms,4.12 ms,5.36 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:34:00,1.42 ms,4.61 ms,4.95 ms,6.32 ms,3.17 ms,2.41 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:36:00,2.78 ms,5.36 ms,8.14 ms,9.05 ms,6.53 ms,4.53 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:38:00,1000 µs,2.32 ms,1.05 ms,1.07 ms,4.32 ms,2.25 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:40:00,2.69 ms,1.68 ms,2.02 ms,2.19 ms,7.41 ms,2.44 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:42:00,2.36 ms,847 µs,2.03 ms,1.92 ms,1.37 ms,2.53 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:44:00,1.54 ms,966 µs,1.29 ms,1.83 ms,2.41 ms,1.03 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:46:00,2.31 ms,1.73 ms,2.68 ms,1.83 ms,1.02 ms,2.54 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:48:00,1.36 ms,1.53 ms,1.92 ms,1.49 ms,1.95 ms,1.56 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:50:00,2.37 ms,1.66 ms,1.05 ms,1.12 ms,1.59 ms,1.36 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:52:00,2.69 ms,3.71 ms,1.05 ms,1.42 ms,3.15 ms,2.75 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:54:00,2.95 ms,5.88 ms,2.83 ms,1.90 ms,1.49 ms,3.22 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:56:00,2.78 ms,2.34 ms,4.02 ms,1.17 ms,1.46 ms,3.53 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:58:00,1.53 ms,2.49 ms,966 µs,915 µs,0 s,3.90 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 18:00:00,1.15 ms,2.95 ms,1.42 ms,3.88 ms,2.29 ms,5.93 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 18:02:00,3.10 ms,2.42 ms,4.05 ms,2.32 ms,2.69 ms,3.78 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 18:04:00,3.86 ms,1.90 ms,1.12 ms,2.97 ms,2.98 ms,7.02 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 18:06:00,2.76 ms,1.85 ms,2.25 ms,1.24 ms,2.93 ms,1.73 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 18:08:00,2.05 ms,2.44 ms,2.98 ms,1.24 ms,1.58 ms,1.54 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 18:10:00,2.12 ms,1.63 ms,1.22 ms,3.20 ms,3.58 ms,1.08 ms,0 s,0 s,0 s,0 s,0 s,0 s
