"Time","rskj-node1","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node2"
2026-02-11 09:25:00,3.88 GiB,3.99 GiB,3.87 GiB,3.97 GiB,3.91 GiB,3.85 GiB
2026-02-11 09:26:00,3.88 GiB,3.90 GiB,3.87 GiB,3.98 GiB,3.91 GiB,3.85 GiB
2026-02-11 09:27:00,3.88 GiB,3.91 GiB,3.87 GiB,3.98 GiB,3.91 GiB,3.85 GiB
2026-02-11 09:28:00,3.88 GiB,3.92 GiB,3.88 GiB,3.98 GiB,3.91 GiB,3.85 GiB
2026-02-11 09:29:00,3.88 GiB,3.93 GiB,3.88 GiB,3.98 GiB,3.91 GiB,3.85 GiB
2026-02-11 09:30:00,3.93 GiB,3.93 GiB,3.88 GiB,3.90 GiB,3.92 GiB,3.94 GiB
2026-02-11 09:31:00,3.93 GiB,3.93 GiB,3.88 GiB,3.90 GiB,3.93 GiB,3.94 GiB
2026-02-11 09:32:00,3.93 GiB,3.93 GiB,3.88 GiB,3.90 GiB,3.93 GiB,3.94 GiB
2026-02-11 09:33:00,3.93 GiB,3.94 GiB,3.88 GiB,3.91 GiB,3.93 GiB,3.94 GiB
2026-02-11 09:34:00,3.93 GiB,3.95 GiB,3.88 GiB,3.91 GiB,3.93 GiB,3.94 GiB
2026-02-11 09:35:00,3.93 GiB,3.96 GiB,3.88 GiB,3.91 GiB,3.93 GiB,3.94 GiB
2026-02-11 09:36:00,3.93 GiB,3.97 GiB,3.88 GiB,3.91 GiB,3.93 GiB,3.94 GiB
2026-02-11 09:37:00,3.93 GiB,3.97 GiB,3.88 GiB,3.91 GiB,3.93 GiB,3.94 GiB
