"Time","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1"
2026-02-09 22:46:00,38.3 KiB,3.01 KiB,3.00 KiB,2.98 KiB,-42.7 KiB,-10.9 KiB,-10.9 KiB,-10.8 KiB
2026-02-09 22:48:00,33.7 KiB,2.28 KiB,2.28 KiB,2.27 KiB,-38.2 KiB,-10.3 KiB,-10.3 KiB,-10.2 KiB
2026-02-09 22:50:00,35.7 KiB,2.87 KiB,2.88 KiB,2.86 KiB,-40.8 KiB,-11.2 KiB,-11.2 KiB,-11.1 KiB
2026-02-09 22:52:00,37.9 KiB,2.19 KiB,2.18 KiB,2.18 KiB,-42.0 KiB,-10.6 KiB,-10.7 KiB,-10.6 KiB
2026-02-09 22:54:00,30.0 KiB,2.57 KiB,2.54 KiB,2.56 KiB,-35.5 KiB,-11.0 KiB,-11.0 KiB,-10.9 KiB
2026-02-09 22:56:00,30.1 KiB,3.09 KiB,3.07 KiB,3.11 KiB,-36.0 KiB,-11.4 KiB,-11.5 KiB,-11.3 KiB
2026-02-09 22:58:00,41.4 KiB,3.36 KiB,3.35 KiB,3.37 KiB,-45.9 KiB,-11.7 KiB,-11.7 KiB,-11.5 KiB
2026-02-09 23:00:00,33.4 KiB,3.19 KiB,3.19 KiB,3.20 KiB,-38.9 KiB,-11.5 KiB,-11.6 KiB,-11.4 KiB
2026-02-09 23:02:00,33.3 KiB,2.87 KiB,2.87 KiB,2.86 KiB,-38.6 KiB,-11.2 KiB,-11.3 KiB,-11.2 KiB
2026-02-09 23:04:00,41.0 KiB,2.72 KiB,2.73 KiB,2.69 KiB,-45.1 KiB,-11.1 KiB,-11.1 KiB,-11.0 KiB
2026-02-09 23:06:00,38.5 KiB,2.86 KiB,2.85 KiB,2.83 KiB,-43.0 KiB,-11.2 KiB,-11.2 KiB,-11.1 KiB
